rater_id,dialog_id,condition,is_gold,is_imc,is_regular,duration_sec,flag_long_duration,flag_missing_scales,flag_incomplete,flag_imc_fail,flag_fast_median,flag_low_variance,flag_straightlining,flag_gold_fail,keep_row,exclusion_reasons
P018,D049,bad,0,0,True,78.92043685913086,False,False,1,False,False,False,False,False,True,
P018,D005,good,1,0,False,127.0355293750763,False,False,1,False,False,False,False,False,False,non_regular_gold
P018,D056,bad,0,1,False,64.29387712478638,False,False,1,False,False,False,False,False,False,non_regular_imc
P018,D001,good,1,0,False,85.32971978187561,False,False,1,False,False,False,False,False,False,non_regular_gold
P018,D058,bad,1,0,False,86.5994176864624,False,False,1,False,False,False,False,False,False,non_regular_gold
P018,D052,bad,1,0,False,58.81116533279419,False,False,1,False,False,False,False,False,False,non_regular_gold
P018,D006,good,0,1,False,96.97352981567384,False,False,1,False,False,False,False,False,False,non_regular_imc
P018,D013,good,0,0,True,114.0909423828125,False,False,1,False,False,False,False,False,True,
P018,D020,good,0,0,True,109.13424968719482,False,False,1,False,False,False,False,False,True,
P018,D030,good,1,0,False,75.02490210533142,False,False,1,False,False,False,False,False,False,non_regular_gold
P047,D068,bad,0,0,True,83.85406708717346,False,False,0,False,False,False,False,False,True,
P047,D019,good,0,0,True,211.98127102851868,False,False,0,False,False,False,False,False,True,
P047,D006,good,0,1,False,150.62534093856812,False,False,0,False,False,False,False,False,False,non_regular_imc
P047,D061,bad,0,0,True,150.4115436077118,False,False,0,False,False,False,False,False,True,
P047,D035,good,0,0,True,213.52647852897644,False,False,0,False,False,False,False,False,True,
P047,D080,bad,0,0,True,53.13884043693543,False,False,0,False,False,False,False,False,True,
P047,D062,bad,0,0,True,133.11815190315247,False,False,0,False,False,False,False,False,True,
P047,D079,bad,1,0,False,76.53835678100586,False,False,0,False,False,False,False,False,False,non_regular_gold
P047,D014,good,0,0,True,94.76722478866576,False,False,0,False,False,False,False,False,True,
P047,D031,good,0,0,True,75.73405861854553,False,False,0,False,False,False,False,False,True,
P055,D078,bad,0,0,True,260.71426153182983,False,False,0,False,False,False,False,False,True,
P055,D075,bad,0,0,True,60.23945593833923,False,False,0,False,False,False,False,False,True,
P055,D057,bad,0,1,False,51.42974543571472,False,False,0,False,False,False,False,False,False,non_regular_imc
P055,D038,good,0,0,True,167.4373457431793,False,False,0,False,False,False,False,False,True,
P055,D007,good,0,0,True,95.17260336875916,False,False,0,False,False,False,False,False,True,
P055,D063,bad,0,0,True,85.75596952438354,False,False,0,False,False,False,False,False,True,
P055,D014,good,0,0,True,60.1820011138916,False,False,0,False,False,False,False,False,True,
P055,D001,good,1,0,False,38.38953185081482,False,False,0,False,False,False,False,False,False,non_regular_gold
P055,D018,good,0,0,True,44.58684515953064,False,False,0,False,False,False,False,False,True,
P055,D074,bad,0,0,True,39.04876589775085,False,False,0,False,False,False,False,False,True,
P069,D021,good,0,0,True,199.44928073883057,False,False,0,False,False,False,False,False,True,
